task,method,train_episodes,train_steps,test_episodes,test_steps,fit_s,offline_s,online_ms,TWA,Accuracy,Det. Time,Window,ThresholdStyle,single_step_ms,load,train,fit,score_calibration,score_test,thresholds,metrics,window_calibration,window_test
push_chair,kern_cd_flat_eploo,5,27,20,193,0.1094448009971529,0.256938506005099,1.3759784158283046,0.9030953109264374,1.0,0.1938093960285186,11,ct_quantile,,0.000251618999755,0.0,0.1091931819973979,0.1503728270181454,0.3022968680015765,0.0468986890045926,0.2630553240014706,0.0028791220101993,0.0367330337467137
push_chair,kern_cd_flat_eploo,7,37,20,193,0.14852168603101742,0.3006600050430279,0.8772681800496563,0.9069049954414368,0.9949999988079072,0.1761902019381523,11,ct_quantile,,0.0001945340191014,0.0,0.148327152011916,0.156053384009283,0.1887943900073878,0.0475695920176804,0.2679644680174533,0.0039150649972725,0.0194816312578041
push_chair,kern_cd_flat_eploo,10,49,20,193,0.13492892798967648,0.3124253101705107,1.032723687828031,0.891905015707016,0.9799999952316284,0.1761904001235961,11,ct_quantile,,0.0002471230109222,0.0,0.1346818049787543,0.1866672130126971,0.2191165490075945,0.0507616430113557,0.2656747010187246,0.0091708308318629,0.0198008772567845
push_chair,kern_cd_obs,3,16,20,193,0.0016732080257497001,0.0026457759086042,0.05506282283832851,0.8857140958309173,0.949999988079071,0.1285715997219085,5,ct_quantile,0.2761717949761078,0.0002210310194641,0.0,0.0014521770062856,0.0026282879989594,0.0222287539800163,0.0381896409962791,0.258910307980841,0.0016557201161049,0.0116016291722189
push_chair,kern_cd_obs,5,27,20,193,0.0058901080337818,0.0103106937895063,0.08189299028038652,0.9604763865470888,1.0,0.0790472030639648,11,tvt_quantile,0.2761717949761078,0.0005069150065537,0.0,0.0053831930272281,0.0072282780020032,0.0276057839801069,0.0433892330038361,0.2574968120025005,0.0028076922462787,0.0118004368559923
push_chair,kern_cd_obs,7,37,20,193,0.017247544019483,0.034876880963565796,0.1776626428898057,0.95,1.0,0.1000000014901161,11,tvt_cp_band,0.2761717949761078,0.0002303130168002,0.0,0.0170172310026828,0.0242049820080865,0.0645075330103281,0.0636322570207994,0.2710471379978116,0.0065756450640037,0.0302186429325956
push_chair,kern_cd_obs,10,49,20,193,0.0473516670172102,0.1052746489585842,0.2114594601266031,0.895476096868515,0.9949999988079072,0.1990476012229919,13,ct_quantile,0.2761717949761078,0.0002461319963913,0.0,0.0471055350208189,0.0636132879881188,0.0528890699788462,0.048575371998595,0.2708719779911916,0.0056903060467448,0.0120773941744118
push_chair,kern_cd_obs_eploo,3,16,20,193,0.0027772269968408003,0.0038068429566919006,0.09107043700644976,0.91214280128479,0.9849999964237212,0.1457142025232315,11,ct_quantile,,0.0004196829977445,0.0,0.0023575439990963,0.0027025669987779,0.0358518170251045,0.0387465259991586,0.2716184300079476,0.0016729510389268,0.0182752226828597
push_chair,kern_cd_obs_eploo,5,27,20,193,0.0059577990032266,0.0150209010462275,0.0892255162407637,0.9588096916675568,1.0,0.0823806010186672,11,tvt_quantile,,0.0002964400046039,0.0,0.0056613589986227,0.0118070740136317,0.0287126220064237,0.0738430519995745,0.2524454590165987,0.0027439719706308,0.0114920973719563
push_chair,kern_cd_obs_eploo,7,37,20,193,0.013335854018805401,0.023921637010062,0.10112790243671194,0.9109524011611938,0.9949999988079072,0.1702116012573242,5,ct_quantile,,0.0002191310049965,0.0,0.0131167230138089,0.0144038940197788,0.030990555009339,0.0453479870047885,0.2579701129870955,0.0038181110285222,0.0114728698390536
